InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C536379,D,Discount,-1,2010-01-12 09:41:00,27.5,14527.0,United Kingdom
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-01-12 09:49:00,4.65,15311.0,United Kingdom
C536391,22556,PLASTERS IN TIN CIRCUS PARADE,-12,2010-01-12 10:24:00,1.65,17548.0,United Kingdom
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES,-24,2010-01-12 10:24:00,0.29,17548.0,United Kingdom
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES,-24,2010-01-12 10:24:00,0.29,17548.0,United Kingdom
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES,-24,2010-01-12 10:24:00,0.29,17548.0,United Kingdom
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2010-01-12 10:24:00,3.45,17548.0,United Kingdom
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY,-12,2010-01-12 10:24:00,1.65,17548.0,United Kingdom
C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-01-12 10:24:00,1.65,17548.0,United Kingdom
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-01-12 12:38:00,4.25,17897.0,United Kingdom
C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-01-12 14:30:00,2.1,17841.0,United Kingdom
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-01-12 14:30:00,0.85,17841.0,United Kingdom
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-01-12 14:33:00,1.95,12472.0,Germany
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-01-12 14:33:00,1.65,12472.0,Germany
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-01-12 14:33:00,2.95,12472.0,Germany
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2010-01-12 14:33:00,1.25,12472.0,Germany
C536548,22654,DELUXE SEWING KIT,-1,2010-01-12 14:33:00,5.95,12472.0,Germany
C536548,22767,TRIPLE PHOTO FRAME CORNICE,-2,2010-01-12 14:33:00,9.95,12472.0,Germany
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,2010-01-12 14:33:00,1.65,12472.0,Germany
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-01-12 14:33:00,0.85,12472.0,Germany
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2010-01-12 14:33:00,1.65,12472.0,Germany
C536548,22631,CIRCUS PARADE LUNCH BOX,-1,2010-01-12 14:33:00,1.95,12472.0,Germany
C536548,22168,ORGANISER WOOD ANTIQUE WHITE,-2,2010-01-12 14:33:00,8.5,12472.0,Germany
C536548,21218,RED SPOTTY BISCUIT TIN,-3,2010-01-12 14:33:00,3.75,12472.0,Germany
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2010-01-12 14:33:00,1.45,12472.0,Germany
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,2010-01-12 14:33:00,5.95,12472.0,Germany
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2010-02-12 09:10:00,2.95,14092.0,United Kingdom
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2010-02-12 10:37:00,8.5,12471.0,Germany
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2010-02-12 10:46:00,14.95,14766.0,United Kingdom
C536642,21463,MIRRORED DISCO BALL,-1,2010-02-12 11:56:00,5.95,14390.0,United Kingdom
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2010-02-12 12:50:00,4.25,16042.0,United Kingdom
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,2010-02-12 12:50:00,7.95,16042.0,United Kingdom
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2010-02-12 13:05:00,2.95,15922.0,United Kingdom
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2010-02-12 14:23:00,0.03,15838.0,United Kingdom
