InvoiceNo,OrderValue,OrderSize
536365,139.12,40
536366,22.200000000000003,12
536367,278.73,83
536368,70.05000000000001,15
536369,17.85,3
536370,855.86,449
536371,204.0,80
536372,22.200000000000003,12
536373,259.86,88
536374,350.4,32
536375,259.86,88
536376,328.8,112
536377,22.200000000000003,12
536378,444.98,454
536380,34.8,24
536381,449.98,198
536382,430.6,134
536384,489.6,190
536385,130.85,53
536386,508.20000000000005,236
536387,3193.92,1440
536388,226.14,108
536389,358.25,107
536390,1825.74,1568
536392,318.14,103
536393,79.6,8
536394,1024.68,544
536395,507.88,260
536396,376.36,102
536397,279.0,60
536398,426.56,150
536399,22.200000000000003,12
536400,17.4,12
536401,354.23,124
536402,357.0,116
536403,192.60000000000002,97
536404,471.3,438
536405,326.4,128
536406,353.14,96
536407,22.200000000000003,12
536408,783.11,558
536409,243.28,173
536412,514.41,220
536415,390.79,228
536416,225.7,110
536420,233.45,111
536423,303.9,78
536425,362.45,137
536437,842.12,1004
536446,440.89,329
536460,295.54,158
536463,17.4,12
536464,277.35,160
536466,42.9,18
536477,2474.7400000000002,1070
536488,165.89,72
536500,223.9,102
536502,95.29,39
536508,155.52,216
536514,295.5,118
536520,313.49,197
536521,4.95,1
536522,191.06,86
536523,203.3,112
536524,70.80000000000001,24
536525,136.24,29
536526,301.24,94
536527,261.48,157
536528,313.93,124
536529,161.0,38
536530,201.75,72
536531,950.09,416
536532,1919.1399999999999,1852
536533,156.1,80
536534,115.65,51
536535,194.85000000000002,71
536536,165.04999999999998,95
536537,369.5,138
536538,255.0,146
536539,487.75,160
536540,540.38,231
536541,15.0,12
536542,787.4,392
536544,5521.14,1208
536551,146.61,88
536555,2.9699999999999998,2
536556,101.55,71
536557,537.38,199
536558,99.75,5
536559,215.14999999999998,129
536560,799.4,256
536561,322.40000000000003,140
536562,308.65000000000003,99
536563,172.54,165
536564,51.4,12
536565,6.7,2
536566,116.25,93
536567,251.40000000000003,132
536568,5.04,12
536569,357.95,155
536570,304.34000000000003,86
536571,294.62,284
536572,442.34999999999997,301
536573,143.12,136
536574,17.85,3
536575,1552.98,858
536576,2558.42,1122
536577,497.0,388
536578,279.6,104
536579,315.96000000000004,276
536580,97.19999999999999,66
536581,330.0,200
536582,304.04,184
536583,198.0,120
536584,1132.8000000000002,384
536585,19.9,2
536586,344.2,44
536587,311.81,313
536588,277.05,103
536590,205.86,74
536591,198.32,93
536592,6915.65,1478
536593,81.75,19
536594,79.5,34
536595,349.15,108
536596,38.09,9
536597,102.78999999999999,71
536598,160.6,76
536599,306.4,80
536600,251.62,56
536601,22.200000000000003,12
536602,163.76,64
536603,22.200000000000003,12
536604,184.5,114
536605,272.65000000000003,107
536607,303.97,93
536608,38.1,30
536609,244.46,88
536610,22.200000000000003,12
536611,259.65000000000003,153
536612,206.76,82
536613,208.97,197
536614,22.200000000000003,12
536615,286.92,108
536616,244.08,72
536617,1095.12,644
536618,780.12,600
536619,97.19999999999999,48
536620,485.25,741
536621,350.06,298
536623,768.38,666
536624,610.64,228
536626,12.600000000000001,6
536627,306.2,64
536628,230.56,86
536629,22.200000000000003,12
536630,244.46,88
536631,22.200000000000003,12
536632,312.8,170
536633,204.15,105
536634,193.78,159
536635,572.38,246
536636,106.2,36
536637,235.16,165
536638,1056.63,619
536639,288.5,106
536640,45.85,11
536641,4.25,1
536643,223.7,74
536663,299.40000000000003,156
536667,362.5,214
536670,58.0,40
536671,136.2,132
536672,127.2,40
536673,339.84,504
536674,127.08,122
536676,207.5,54
536681,113.92,46
536685,380.46,108
536688,22.200000000000003,12
536690,331.26,92
536693,22.200000000000003,12
536698,326.0,144
536707,199.65,41
536732,354.54,274
536733,329.65000000000003,255
536735,211.2,128
536736,824.88,1296
536738,98.18,42
536739,201.75,31
536740,92.75,67
536741,202.12,130
536742,198.08,103
536743,261.76,195
536744,379.75,137
536745,341.9,126
536746,248.1,92
536747,100.2,75
536748,116.0,26
536749,353.19,106
536750,434.8,118
536751,22.200000000000003,12
536752,390.66,104
536753,22.200000000000003,12
536754,210.24,142
536755,54.25,15
536756,66.65,23
536759,311.25,113
536761,98.9,36
536762,307.68,231
536763,452.52,331
536769,668.4,375
536771,118.38,66
536777,138.1,97
536778,193.23,125
536779,15.0,1
536780,12.8,4
536781,50.400000000000006,24
536782,517.95,244
536783,4076.48,2909
536784,2170.9,1330
536785,2730.96,1008
536786,324.0,144
536787,192.46,76
536788,75.0,60
536789,22.200000000000003,12
536790,532.01,141
536791,44.400000000000006,24
536792,30.0,24
536793,170.7,70
536794,322.8,96
536795,333.72,180
536796,375.65,176
536797,130.8,56
536798,717.1600000000001,472
536799,183.3,122
536800,236.97,190
536801,252.3,134
536802,197.3,50
536803,22.5,6
536804,1714.25,531
536805,406.56,384
536806,45.12,84
536808,247.8,64
536809,1003.2,1824
536810,303.96,204
536811,527.85,69
536813,189.8,230
536819,308.28000000000003,190
536821,143.45000000000002,80
536823,50.550000000000004,13
536824,408.0,160
536830,2002.4,4280
536831,569.4,260
536832,164.8,64
536833,438.1,208
536834,35.400000000000006,12
536835,295.0,1
536836,263.3,133
536837,308.68,174
536838,37.2,96
536839,623.73,879
536840,155.35,148
536841,393.42,174
536842,263.62,130
536843,34.9,14
536844,189.3,38
536845,127.55,45
536846,413.1,134
536847,215.57999999999998,222
536848,534.0,280
536849,397.5,106
536851,1368.4,360
536852,89.14,107
536856,754.87,343
536857,128.03,54
536858,303.4,110
536859,294.25,186
536860,254.39999999999998,108
536861,303.5,79
536862,1334.13,150
536863,123.07,80
536864,636.6800000000001,66
536865,2396.96,317
536866,8.47,1
536874,232.26,92
536876,7257.08,1641
536883,5.46,13
536884,39.75,5
536885,549.0,200
536890,322.2,1548
536920,69.3,58
536938,1680.88,464
536941,0.0,20
536942,0.0,15
536943,187.51,170
536944,620.0,400
536945,309.54,179
536946,841.94,363
536947,686.4,439
536954,425.0,100
536956,304.95000000000005,93
536957,791.7,234
536960,225.65,125
536967,76.5,31
536968,534.0,168
536969,528.0,192
536970,1314.0,120
536971,248.16,140
536972,230.25,35
536973,736.28,356
536974,336.24,132
536975,1705.65,827
536976,149.8,76
536977,108.78,60
536980,591.47,239
536981,101.14,39
536982,10661.69,1834
536983,175.53,60
536984,339.54,136
536985,334.3,42
536986,124.14,104
536987,272.01,124
536988,254.39000000000001,100
536989,115.7,26
536990,131.8,65
536991,26.4,32
536992,91.8,36
536993,110.35000000000001,39
536994,98.5,18
537022,427.8,164
537023,122.15,64
537025,76.83,48
537026,346.1,528
537030,246.3,142
537031,135.0,108
537034,2355.1800000000003,1338
537035,11.6,8
537036,135.32999999999998,75
537037,256.90000000000003,92
537038,535.75,125
537040,734.3999999999999,192
537041,155.64000000000001,52
537042,238.11,83
537044,431.45,93
537045,126.42999999999999,46
537046,277.45,55
537047,326.6,181
537048,5.9,2
537049,277.65000000000003,97
537050,555.84,437
537051,350.68,158
537052,552.24,232
537053,275.8,124
537054,152.05,82
537055,273.29,107
537057,274.67,129
537058,351.43,197
537059,127.98,59
537065,1526.92,611
537067,27.45,8
537077,179.64000000000001,163
537081,1145.06,442
537086,438.0,168
537090,15.0,12
537111,180.44,84
537117,204.0,48
537126,475.86,212
537127,408.0,160
537128,211.74,135
537129,301.12,232
537130,114.65,28
537131,547.1,435
537133,206.23000000000002,73
537134,163.49,107
537135,722.36,471
537136,273.76,152
537137,535.6,392
537138,273.3,204
537139,33.15,25
537140,70.42,54
537141,517.65,165
537142,41.45,16
537144,343.28000000000003,211
537153,623.75,413
537154,1021.45,355
537155,75.64,66
537156,251.25,87
537158,184.8,86
537159,292.95,60
537160,283.15,128
537163,384.71999999999997,276
537176,131.5,70
537179,806.28,284
537192,211.8,105
537193,460.6,232
537194,271.2,80
537195,650.64,310
537196,411.42,159
537197,286.5,80
537198,85.5,11
537199,156.74,115
537200,112.9,47
537201,1631.3,972
537202,269.7,112
537204,198.43,293
537205,165.86,116
537206,85.55000000000001,25
537207,188.77,40
537208,297.92,149
537209,192.68,83
537210,209.84,101
537211,355.75,145
537212,473.39,299
537213,8.65,7
537214,1668.2,2048
537215,358.55999999999995,108
537216,569.5,240
537217,167.2,16
537218,320.08,196
537219,423.52,252
537220,3.35,1
537221,37.35,14
537222,133.48,57
537223,164.70000000000002,46
537224,1415.97,700
537225,496.48,316
537226,113.48,86
537227,922.4000000000001,700
537228,25.200000000000003,12
537229,17.4,12
537230,2.95,1
537231,308.8,112
537233,353.0,148
537235,2567.6400000000003,1464
537236,375.69000000000005,91
537237,7335.45,1608
537238,164.2,88
537239,210.19,67
537240,7660.4800000000005,1811
537241,364.92,172
537242,412.22,282
537243,50.400000000000006,24
537244,300.66,349
537245,58.2,48
537246,129.4,53
537247,223.68,192
537248,56.25,39
537249,33.0,20
537250,196.44,89
537252,26.349999999999998,31
537253,351.47,178
537254,382.69,210
537255,303.5,163
537256,2263.8,796
537257,142.5,58
537258,142.25,92
537262,611.51,266
537265,270.72,242
537298,153.5,54
537301,102.66,72
537312,311.24,254
537313,123.15,21
537332,322.8,120
537334,430.73,146
537335,98.7,32
537346,673.37,503
537350,419.06,350
537351,116.08,98
537354,133.07,85
537359,184.10000000000002,72
537360,76.32000000000001,72
537362,392.62,530
537365,449.95000000000005,201
537366,308.05,106
537367,25.200000000000003,12
537368,377.5,135
537369,252.8,104
537370,379.7,168
537371,185.97,119
537372,198.35,73
537374,381.64,275
537375,358.82,223
537376,480.68,278
537377,270.52,116
537378,784.15,476
537380,100.80000000000001,48
537381,511.56,372
537382,375.47,197
537384,122.7,56
537385,125.10000000000001,37
537386,20.85,3
537387,222.18,84
537388,391.5,210
537389,149.0,60
537390,123.24,40
537391,554.66,257
537392,166.15,80
537393,2415.04,972
537394,81.17999999999999,54
537395,150.22,80
537396,292.84000000000003,64
537397,244.20000000000002,164
537399,427.74,204
537400,422.81,261
537403,30.45,21
537404,56.85,38
537405,406.69,132
537407,192.7,34
537409,406.16,247
537410,151.20000000000002,72
537411,9.65,4
537412,177.60000000000002,96
537415,227.4,63
537418,137.11,66
537419,510.95,209
537420,335.3,184
537421,292.54,131
537422,217.54999999999998,144
537423,166.0,104
537424,92.55000000000001,57
537428,450.92,210
537429,82.12,119
537433,417.62,146
537434,8223.4,1869
537435,221.5,82
537440,214.32,67
537441,540.0,256
537442,5.07,2
537446,569.03,201
537447,151.3,54
537448,39.599999999999994,6
537456,1989.2399999999998,780
537457,1644.94,914
537458,293.45000000000005,101
537459,178.4,112
537460,326.4,128
537461,510.0,120
537462,172.65,89
537463,1033.52,585
537464,618.07,234
537465,454.6,218
537467,118.25,51
537468,415.46000000000004,167
537469,102.0,24
537470,111.25,21
537471,17.85,3
537472,111.54,126
537476,957.5,550
537484,1830.02,680
537489,511.79999999999995,396
537509,532.8000000000001,288
537523,159.55,61
537534,924.59,115
537538,311.65,131
537567,181.12,125
537592,327.40000000000003,268
537593,571.0,300
537594,596.8,155
537595,118.32,44
537598,319.0,80
537599,19.9,2
537601,108.78,62
537603,373.49,213
537604,1381.92,516
537605,166.74,52
537606,631.65,279
537607,156.19,74
537608,444.42,235
537609,617.12,236
537612,322.3,122
537614,322.8,137
537615,139.0,20
537616,15.9,2
537617,177.26,76
537618,2022.16,956
537619,230.39999999999998,136
537620,97.8,54
537621,19.5,10
537622,165.94,114
537623,383.93,199
537624,306.84000000000003,171
537625,87.5,36
537626,711.79,319
537627,713.88,476
537628,378.75,189
537629,356.87,191
537631,17.4,12
537632,13541.33,1
537633,24.9,5
537634,231.9,62
537635,68.1,30
537636,172.0,32
537637,15.7,4
537638,6293.86,1448
537639,0.0,30
537640,11540.34,2201
537641,1240.19,138
537642,2164.51,256
537643,2416.59,269
537645,2448.29,254
537646,406.6,133
537648,402.61,271
537649,112.6,36
537650,289.35,124
537653,268.73,84
537654,135.05,46
537655,111.15,57
537657,9639.12,2790
537658,395.76,120
537659,15885.49,3689
537664,46.8,24
537665,139.86,101
537666,5058.04,1144
537667,326.4,128
537668,48.800000000000004,20
537669,164.25,105
537670,514.39,151
537671,328.45,145
537672,328.01,182
537673,522.7,139
537674,319.18,250
537675,5.04,12
537676,258.9,214
537678,356.91,133
537679,24.59,24
537680,253.24,173
537681,304.2,175
537682,99.6,72
537683,365.4,240
537685,204.87,171
537686,225.0,148
537688,702.1,270
537689,301.52,288
537690,329.36,220
537691,310.57,163
537692,671.21,434
537693,173.55,121
537694,158.25,63
537698,468.68,452
537700,309.0,68
537707,303.86,176
537738,287.08,144
537743,151.95,65
537751,38.8,16
537754,157.6,53
537755,411.44,198
537757,314.1,86
537758,105.72,118
537759,203.64000000000001,108
537760,307.82000000000005,106
537761,19.799999999999997,12
537762,569.4,275
537764,145.93,62
537765,215.88,81
537766,651.6,288
537767,350.4,32
537768,39.0,20
537769,205.64000000000001,94
537770,295.66,176
537771,450.92,204
537772,316.46,172
537773,382.27,146
537774,281.0,196
537775,910.14,525
537780,127.05000000000001,51
537781,513.6,291
537789,623.4200000000001,214
537791,147.39999999999998,12
537792,148.23000000000002,70
537793,2746.75,1655
537794,414.43,189
537795,312.90000000000003,92
537796,405.16,248
537799,142.95,55
537800,69.78999999999999,75
537801,403.25,43
537802,692.94,190
537803,89.5,10
537804,130.64,116
537806,372.96999999999997,105
537808,251.09,145
537809,118.3,26
537810,23.85,3
537811,268.86,74
537813,376.30000000000007,116
537815,300.7,158
537816,129.75,29
537817,168.6,76
537818,1149.29,424
537819,397.6,286
537822,566.95,365
537823,6073.71,1484
537825,222.5,118
537826,272.34000000000003,104
537827,63.0,30
537828,478.89,331
537829,525.8,260
537830,197.8,67
537831,106.77000000000001,39
537833,590.0,200
537836,103.67999999999999,144
537837,313.72,303
537839,12.87,9
537840,305.45,103
537841,320.0,1000
537842,159.51,75
537843,171.15,59
537844,190.34,94
537845,71.4,12
537846,201.60000000000002,130
537847,180.4,64
537848,180.0,144
537849,75.0,60
537850,318.84,316
537851,356.4,264
537852,2671.27,1665
537854,154.8,120
537855,263.25,95
537858,24.95,15
537859,670.55,96
537861,120.65,47
537862,111.53,71
537863,5.95,1
537864,336.94,238
537865,237.95,125
537866,676.1,274
537867,307.25,75
537868,1867.98,1730
537871,167.09,123
537879,213.3,56
537880,365.8,172
537881,956.5,238
537882,141.95,45
537883,63.0,60
537884,525.93,111
537885,258.75,69
537886,209.3,110
537887,1485.72,532
537888,524.35,440
537889,670.48,260
537890,100.19999999999999,36
537891,88.8,36
537892,159.38,85
537894,464.61,227
537895,429.24,92
537896,258.95,157
537897,213.88,107
537898,364.4,87
537899,3794.3999999999996,1488
537900,382.66,231
537901,309.4,68
537915,254.03,118
537955,371.7,89
537963,308.28000000000003,149
537967,57.6,9
537981,1335.2,2154
537995,295.1,84
538000,101.9,17
538002,363.53,80
538003,1281.5,454
538005,832.8,120
538006,163.2,64
538007,174.4,92
538008,849.2,557
538009,945.55,287
538010,226.79999999999998,40
538011,257.22,184
538012,224.38,48
538013,114.79,95
538014,656.7,150
538015,224.07,131
538032,174.4,58
538035,372.09,231
538037,112.6,60
538040,325.76,217
538044,21.299999999999997,16
538048,181.0,52
538049,18.4,8
538050,15.9,2
538051,205.35,154
538053,1571.32,675
538056,249.65,118
538057,316.82,210
538060,5.85,3
538063,1914.2400000000002,96
538064,111.75,78
538065,428.6,208
538067,165.65,66
538068,300.91999999999996,499
538069,414.88,239
538070,103.7,24
538071,7268.65,1643
538073,16.21,16
538076,272.36,141
538077,686.15,394
538078,374.25,173
538079,394.18,190
538080,251.0,110
538086,378.53000000000003,203
538087,60.0,16
538093,739.05,344
538094,186.03,85
538095,174.72,67
538096,3.7199999999999998,3
538097,315.0,196
538101,230.10000000000002,78
538104,190.35,129
538106,72.82000000000001,57
538107,155.0,80
538108,249.86,222
538113,289.85,95
538116,685.0,240
538117,60.0,36
538120,144.5,150
538125,30.0,16
538126,218.4,78
538127,7.5,2
538145,383.07,117
538146,402.32,168
538147,15.0,1
538148,2215.27,225
538149,2446.16,239
538151,441.6,92
538153,3091.82,353
538154,294.01,32
538155,182.01999999999998,68
538156,620.35,202
538157,119.65,57
538163,257.95,116
538165,185.82,154
538166,119.45,48
538167,298.95,125
538168,318.7,167
538169,93.45,33
538170,317.59000000000003,133
538171,300.64,194
538172,370.80000000000007,212
538174,1982.41,1075
538175,378.0,21
538176,402.0,152
538177,6272.01,1306
538178,157.9,82
538179,17.700000000000003,6
538180,369.09999999999997,178
538181,151.5,58
538182,115.08000000000001,40
538183,651.83,279
538184,458.92,314
538185,188.98,90
538186,201.75,77
538187,218.10000000000002,68
538188,2.95,1
538190,127.9,56
538191,5375.28,1559
538192,135.0,20
538193,67.5,10
538194,0.95,1
538195,337.5,50
538196,1071.9,418
538197,124.1,55
538198,919.8,659
538199,182.25,110
538200,95.25,57
538201,203.1,87
538202,274.73,187
538203,186.60000000000002,116
538204,428.76,396
538205,336.15999999999997,272
538206,236.92,44
538207,271.47,260
538208,111.8,34
538209,185.06,104
538210,523.86,302
538211,239.70000000000002,60
538216,254.4,40
538240,247.56,124
538248,139.68,73
538250,132.65,59
538252,219.1,60
538255,1156.05,379
538260,300.65000000000003,105
538263,228.12,132
538268,116.89999999999999,52
538279,686.16,472
538280,612.1,418
538283,10.29,7
538288,1.9,2
538296,309.40000000000003,178
538306,202.5,30
538307,213.26,81
538308,363.24,268
538309,114.45000000000002,55
538310,25.799999999999997,20
538311,311.95,131
538312,272.82,177
538313,1136.3200000000002,322
538327,401.92,226
538342,39.949999999999996,47
538343,385.58000000000004,170
538345,106.4,56
538346,756.45,387
538347,317.5,83
538348,0.0,30
538349,6602.3099999999995,1504
538351,12633.67,2229
538352,173.7,46
538353,3762.66,2420
538354,2157.64,1040
538355,9.9,2
538356,966.62,712
538358,21.7,6
538361,158.0,59
538363,156.65,65
538364,102.35000000000001,44
538365,338.6,102
538366,275.3,44
538367,664.01,635
538368,147.09,74
538369,283.28000000000003,110
538370,550.5,218
538371,350.24,197
538374,193.22,114
538378,346.90000000000003,131
538379,212.6,88
538382,214.24,84
538397,3590.59,2409
538403,324.22,196
538409,126.28,67
538417,106.75,51
538418,172.71,128
538419,170.91,91
538420,293.76000000000005,1728
538421,110.91,56
538437,110.1,46
538449,452.99,228
538453,330.92,195
538470,11.6,2
538473,177.66,66
538488,212.08,120
538497,168.36,70
538499,388.65,35
538501,11.9,2
538503,513.64,174
538504,168.15,103
538507,767.37,559
538508,863.39,466
538509,122.7,68
538510,169.47,78
538511,214.74,118
538512,135.39999999999998,59
538513,179.1,86
538514,835.95,311
538515,1393.56,564
538516,204.0,48
538517,320.28,161
538518,1050.35,511
538519,31.3,6
538520,23.3,4
539993,307.3,171
540001,474.66,270
540002,310.28,188
540003,368.8,140
540004,76.32000000000001,72
540005,190.56,138
540013,299.6,183
540014,339.68,155
540015,510.89,286
540016,168.3,114
540017,215.41,265
540019,413.68,352
540020,109.3,34
540021,516.97,230
540022,388.72,270
540023,794.66,330
540024,23.8,4
540025,323.04,504
540026,3900.62,1680
540027,363.66,238
540028,284.6,36
540029,90.0,24
540031,431.88000000000005,135
540032,299.92,88
540033,871.48,526
540040,547.56,293
540043,173.39000000000001,49
540059,385.8,264
540060,203.1,58
540073,644.13,199
540093,112.30000000000001,26
540094,312.95,169
540095,201.94,131
540096,476.48,624
540098,160.38,71
540099,733.92,322
540113,323.87,265
540114,243.4,320
540115,112.65,75
540116,10.129999999999999,2
540120,969.36,408
540121,366.06,238
540122,1179.6,1720
540126,1209.1,886
540130,393.9,138
540146,261.5,138
540148,364.8,510
540149,481.7,344
540150,38.25,3
540153,331.6,132
540154,1854.3899999999999,733
540157,1145.33,591
540159,72.0,192
540160,2574.48,1032
540161,152.45,148
540162,95.65,33
540163,958.93,1068
540166,660.0,400
540167,125.86,182
540168,445.22,239
540169,229.75,33
540170,170.4,56
540172,138.98000000000002,54
540173,116.0,80
540174,102.0,24
540175,1910.4,480
540176,3862.14,1914
540178,556.07,362
540179,481.14,137
540180,107.89,56
540181,199.44,216
540182,229.56,224
540183,1220.4,628
540184,119.3,18
540185,344.81,305
540186,7.95,5
540187,653.86,717
540188,296.66,303
540227,4.95,1
540238,583.37,171
540239,835.11,373
540240,417.81,571
540242,511.95,275
540245,379.44,1032
540247,1048.85,350
540248,583.45,184
540249,305.74,400
540251,12.75,1
540253,1263.72,444
540255,1331.8,485
540257,238.55,75
540258,682.8,212
540259,417.3,366
540260,771.29,344
540261,730.88,536
540262,242.54999999999998,147
540263,169.8,184
540264,432.0,600
540265,253.1,86
540267,7011.38,4662
540268,1489.18,944
540269,186.0,40
540273,563.15,711
540274,211.8,92
540275,1520.1100000000001,669
540276,1520.11,669
540277,3120.2200000000003,1798
540278,433.04,224
540279,35.400000000000006,12
540280,143.0,140
540288,785.65,165
540316,464.82,204
540345,621.9,130
540348,224.11,93
540349,660.15,569
540350,108.45,61
540351,319.77,263
540352,2094.11,783
540353,499.89,282
540354,623.6800000000001,288
540355,3401.94,691
540356,513.86,117
540357,1374.46,1171
540358,369.14,262
540359,377.7,366
540361,304.2,274
540362,162.70000000000002,113
540363,185.1,618
540364,317.06,95
540365,479.25,180
540370,76.32000000000001,72
540371,309.55,71
540372,3527.64,2650
540373,307.35,109
540374,303.36,208
540375,12.75,1
540383,406.77000000000004,203
540387,175.15,149
540395,237.65,55
540396,969.24,404
540397,236.02,95
540399,9.3,2
540401,797.5999999999999,112
540402,557.5600000000001,476
540404,301.66,235
540405,582.0,968
540406,495.0,300
540407,427.47,329
540408,637.5,250
540409,504.25,190
540410,387.40000000000003,95
540411,311.07,281
540412,303.0,88
540413,331.55,208
540414,603.09,413
540415,523.05,365
540416,149.41,79
540418,2688.72,1075
540420,207.25,251
540452,325.44,96
540453,302.45,341
540454,368.52,168
540455,730.16,491
540456,188.0,80
540457,102.5,22
540458,2169.39,1783
540459,479.1,186
540460,104.76,202
540461,122.10000000000001,102
540462,434.95000000000005,195
540463,334.93,105
540464,1429.9,1070
540465,83.7,78
540466,306.0,72
540467,300.54,222
540468,2311.53,948
540469,1138.67,630
540471,688.45,367
540472,335.8,223
540473,716.11,571
540474,6.6,4
540475,141.48000000000002,70
540476,4.25,1
540477,304.24,404
540478,2970.0,1800
540479,135.9,90
540480,816.25,367
540481,165.88,94
540482,285.28000000000003,147
540489,559.85,199
540493,300.74,118
540495,10.9,2
540496,328.54,187
540497,16.8,8
540498,268.8,68
540499,365.2,90
540500,390.29999999999995,72
540501,753.26,942
540502,625.04,400
540504,208.56,67
540505,313.15,143
540506,282.25,73
540507,1933.2,552
540508,146.55,64
540509,537.99,412
540510,104.25,15
540511,334.26,187
540512,142.24,82
540513,422.4,152
540514,431.77,180
540515,182.78,72
540516,267.2,66
540517,157.09,76
540518,97.5,58
540519,413.68,230
540520,195.45,156
540521,114.0,78
540522,301.28,258
540523,340.94,250
540524,660.36,385
540525,309.48,160
540526,229.48,154
540528,136.05,98
540529,479.0,260
540530,488.46000000000004,238
540531,119.49000000000001,56
540532,221.7,37
540533,141.05,67
540534,25.2,24
540536,145.5,93
540537,110.17999999999999,78
540538,279.02,99
540539,557.07,429
540540,169.35,47
