Description,Revenue
"PAPER CRAFT , LITTLE BIRDIE",168469.6
DOTCOM POSTAGE,91173.0
REGENCY CAKESTAND 3 TIER,78246.22
WHITE HANGING HEART T-LIGHT HOLDER,50596.200000000004
JUMBO BAG RED RETROSPOT,41365.4
PARTY BUNTING,40709.43
PICNIC BASKET WICKER 60 PIECES,39619.5
POSTAGE,35286.86
PAPER CHAIN KIT 50'S CHRISTMAS,31551.21
ASSORTED COLOUR BIRD ORNAMENT,29465.45
Manual,27065.66
CHILLI LIGHTS,24942.13
RABBIT NIGHT LIGHT,24050.44
BLACK RECORD COVER FRAME,23228.31
WOOD BLACK BOARD ANT WHITE FINISH,18826.56
DOORMAT KEEP CALM AND COME IN,18554.8
JUMBO BAG PINK POLKADOT,17734.3
POPCORN HOLDER,17458.14
RED  HARMONICA IN BOX,16629.170000000002
VINTAGE UNION JACK MEMOBOARD,16268.65
SPOTTY BUNTING,15499.6
LUNCH BAG RED RETROSPOT,15478.05
ALARM CLOCK BAKELIKE RED,15357.9
VICTORIAN GLASS HANGING T-LIGHT,14977.67
HEART OF WICKER SMALL,14890.759999999998
HOT WATER BOTTLE KEEP CALM,14660.150000000001
PAPER CHAIN KIT VINTAGE CHRISTMAS,14646.140000000001
HOT WATER BOTTLE TEA AND SYMPATHY,14612.37
CHOCOLATE HOT WATER BOTTLE,14540.810000000001
CREAM HEART CARD HOLDER,14400.84
HEART OF WICKER LARGE,14257.28
DOORMAT RED RETROSPOT,14196.18
AMAZON FEE,13541.33
JUMBO BAG STRAWBERRY,13384.59
JUMBO STORAGE BAG SUKI,13234.06
NATURAL SLATE HEART CHALKBOARD,13085.03
CHARLOTTE BAG SUKI DESIGN,12790.36
SET OF 3 CAKE TINS PANTRY DESIGN,12785.19
JAM MAKING SET WITH JARS,12720.91
JUMBO BAG ALPHABET,12102.630000000001
ALARM CLOCK BAKELIKE GREEN,12064.34
VINTAGE UNION JACK BUNTING,12053.68
RED HANGING HEART T-LIGHT HOLDER,11759.25
DOORMAT NEW ENGLAND,11734.91
DOORMAT FANCY FONT HOME SWEET HOME,11728.75
GIN + TONIC DIET METAL SIGN,11712.12
JUMBO BAG APPLES,11636.28
PLEASE ONE PERSON METAL SIGN,11581.59
JUMBO SHOPPER VINTAGE RED PAISLEY,11472.96
JAM MAKING SET PRINTED,11363.75
JUMBO  BAG BAROQUE BLACK WHITE,11322.9
ROTATING SILVER ANGELS T-LIGHT HLDR,11286.47
DOORMAT FAIRY CAKE,11232.130000000001
RED WOOLLY HOTTIE WHITE HEART.,11061.970000000001
JUMBO BAG VINTAGE DOILY,11039.86
SET OF 3 REGENCY CAKE TINS,10811.12
DOORMAT UNION FLAG,10766.12
EDWARDIAN PARASOL NATURAL,10765.17
RECIPE BOX PANTRY YELLOW DESIGN,10708.640000000001
SPACEBOY LUNCH BOX,10699.32
WHITE SKULL HOT WATER BOTTLE,10628.210000000001
DOORMAT HEARTS,10557.76
ROSES REGENCY TEACUP AND SAUCER,10548.41
JUMBO BAG 50'S CHRISTMAS,10275.76
JUMBO BAG PINK VINTAGE PAISLEY,10024.68
PICNIC BASKET WICKER LARGE,9925.71
WOODEN PICTURE FRAME WHITE FINISH,9915.17
HAND WARMER OWL DESIGN,9857.37
SCOTTIE DOG HOT WATER BOTTLE,9720.300000000001
ROUND SNACK BOXES SET OF 4 FRUITS,9702.76
COOK WITH WINE METAL SIGN,9672.68
GREEN REGENCY TEACUP AND SAUCER,9665.25
ROUND SNACK BOXES SET OF4 WOODLAND,9659.76
LUNCH BAG  BLACK SKULL.,9646.19
CREAM SWEETHEART MINI CHEST,9567.58
JUMBO BAG WOODLAND ANIMALS,9535.68
PAPER BUNTING RETROSPOT,9517.69
RED TOADSTOOL LED NIGHT LIGHT,9412.189999999999
RED RETROSPOT CHARLOTTE BAG,9338.42
PACK OF 72 RETROSPOT CAKE CASES,8859.64
LUNCH BAG CARS BLUE,8833.039999999999
FAIRY CAKE FLANNEL ASSORTED COLOUR,8827.87
JUMBO BAG OWLS,8813.41
LUNCH BOX I LOVE LONDON,8803.48
WOODEN FRAME ANTIQUE WHITE,8773.6
JUMBO BAG VINTAGE LEAF,8717.95
ASSORTED COLOURS SILK FAN,8657.77
BAKING SET 9 PIECE RETROSPOT,8639.98
ANTIQUE SILVER T-LIGHT GLASS,8637.41
KNITTED UNION FLAG HOT WATER BOTTLE,8571.22
RED RETROSPOT CAKE STAND,8527.929999999998
HAND WARMER BIRD DESIGN,8514.52
SET/4 WHITE RETRO STORAGE CUBES,8474.07
HAND WARMER SCOTTY DOG DESIGN,8441.94
SET OF 6 SPICE TINS PANTRY DESIGN,8430.54
MINI PAINT SET VINTAGE,8258.54
ALARM CLOCK BAKELIKE PINK,8216.92
RETROSPOT TEA SET CERAMIC 11 PC,8192.99
RECYCLING BAG RETROSPOT,8173.77
BLACK HEART CARD HOLDER,8157.02
PINK BLUE FELT CRAFT TRINKET BOX,8137.900000000001
GUMBALL COAT RACK,8112.29
DOLLY GIRL LUNCH BOX,8101.099999999999
LUNCH BAG SUKI DESIGN,8051.42
LUNCH BAG APPLE DESIGN,7905.63
HOME BUILDING BLOCK WORD,7679.330000000001
HOT BATHS METAL SIGN,7674.47
IVORY KITCHEN SCALES,7650.400000000001
JUMBO BAG DOILEY PATTERNS,7621.8
EDWARDIAN PARASOL BLACK,7599.900000000001
FELTCRAFT DOLL MOLLY,7502.879999999999
HOT WATER BOTTLE I AM SO POORLY,7330.52
SET 7 BABUSHKA NESTING BOXES,7322.280000000001
JUMBO BAG SPACEBOY DESIGN,7320.42
BOX OF VINTAGE ALPHABET BLOCKS,7296.8099999999995
SET/5 RED RETROSPOT LID GLASS BOWLS,7293.26
LUNCH BAG SPACEBOY DESIGN,7281.25
6 RIBBONS RUSTIC CHARM,7265.139999999999
PINK REGENCY TEACUP AND SAUCER,7258.76
HAND OVER THE CHOCOLATE   SIGN,7231.9400000000005
VINTAGE CHRISTMAS BUNTING,7107.030000000001
LUNCH BAG WOODLAND,7035.37
WOODLAND CHARLOTTE BAG,6999.389999999999
DOORMAT WELCOME PUPPIES,6980.52
LUNCH BAG PINK POLKADOT,6945.2699999999995
LOVE HOT WATER BOTTLE,6924.93
COLOUR GLASS. STAR T-LIGHT HOLDER,6862.7
GROW A FLYTRAP OR SUNFLOWER IN TIN,6806.31
IVORY DINER WALL CLOCK,6684.47
RETROSPOT HEART HOT WATER BOTTLE,6648.16
METAL SIGN TAKE IT OR LEAVE IT,6639.46
HANGING HEART JAR T-LIGHT HOLDER,6613.280000000001
DOUGHNUT LIP GLOSS,6572.57
VINTAGE DOILY JUMBO BAG RED,6483.22
WOOD 2 DRAWER CABINET WHITE FINISH,6424.46
CHILDRENS CUTLERY POLKADOT PINK,6393.55
PAPER CHAIN KIT RETROSPOT,6370.410000000001
CHRISTMAS LIGHTS 10 REINDEER,6335.21
LOVE BUILDING BLOCK WORD,6307.84
GARDENERS KNEELING PAD KEEP CALM,6287.98
REGENCY TEAPOT ROSES,6255.3
PICNIC BASKET WICKER SMALL,6187.95
RED RETROSPOT ROUND CAKE TINS,6178.98
WORLD WAR 2 GLIDERS ASSTD DESIGNS,6168.8099999999995
FELTCRAFT 6 FLOWER FRIENDS,6154.240000000001
LUNCH BAG ALPHABET DESIGN,6141.51
DOORMAT BLACK FLOCK,6107.5199999999995
HOMEMADE JAM SCENTED CANDLES,6101.669999999999
TRADITIONAL WOODEN SKIPPING ROPE,6066.12
SET OF 4 PANTRY JELLY MOULDS,6033.400000000001
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,6031.110000000001
RED KITCHEN SCALES,5981.29
JUMBO STORAGE BAG SKULLS,5963.8
STRAWBERRY CERAMIC TRINKET BOX,5936.32
FELTCRAFT CUSHION RABBIT,5890.43
VINTAGE SNAP CARDS,5885.7699999999995
ENAMEL FLOWER JUG CREAM,5803.31
PAPER CHAIN KIT EMPIRE,5802.38
PLASTERS IN TIN SPACEBOY,5752.339999999999
JUMBO BAG VINTAGE CHRISTMAS,5746.83
CHILDRENS CUTLERY POLKADOT BLUE,5719.23
STRAWBERRY CHARLOTTE BAG,5712.48
DOORMAT ENGLISH ROSE,5686.39
FELTCRAFT CUSHION OWL,5652.21
JUMBO BAG PEARS,5613.56
SMALL POPCORN HOLDER,5593.469999999999
CLOTHES PEGS RETROSPOT PACK 24,5488.61
GREY HEART HOT WATER BOTTLE,5487.75
BREAD BIN DINER STYLE IVORY,5439.17
3 HEARTS HANGING DECORATION RUSTIC,5403.24
SET/3 RED GINGHAM ROSE STORAGE BOX,5398.83
VINTAGE HEADS AND TAILS CARD GAME,5396.97
DOORMAT SPOTTY HOME SWEET HOME,5389.59
DOORMAT HOME SWEET HOME BLUE,5375.6900000000005
WOODEN ROUNDERS GARDEN SET,5352.53
BAKING SET SPACEBOY DESIGN,5303.32
TEA TIME PARTY BUNTING,5206.17
RED RETROSPOT UMBRELLA,5114.35
15CM CHRISTMAS GLASS BALL 20 LIGHTS,5112.37
RED RETROSPOT PICNIC BAG,5107.16
JUMBO BAG PAISLEY PARK,5101.07
PLASTERS IN TIN WOODLAND ANIMALS,5095.23
REVOLVER WOODEN RULER,5076.719999999999
PINK HAPPY BIRTHDAY BUNTING,5074.080000000001
RED RETROSPOT MINI CASES,5015.79
RED METAL BOX TOP SECRET,5000.92
ICE CREAM SUNDAE LIP GLOSS,4997.56
TRADITIONAL MODELLING CLAY,4965.0
ASSORTED COLOUR MINI CASES,4957.9
MEMO BOARD RETROSPOT  DESIGN,4943.41
SET 2 TEA TOWELS I LOVE LONDON,4941.1
HAND WARMER UNION JACK,4940.870000000001
ANTIQUE SILVER TEA GLASS ENGRAVED,4909.63
WOODEN CROQUET GARDEN SET,4904.82
FELTCRAFT CUSHION BUTTERFLY,4883.98
RED SPOTTY BISCUIT TIN,4866.28
ENAMEL BREAD BIN CREAM,4861.96
FAWN BLUE HOT WATER BOTTLE,4854.55
FELTCRAFT BUTTERFLY HEARTS,4826.049999999999
ALARM CLOCK BAKELIKE IVORY,4806.45
WOODEN SCHOOL COLOURING SET,4788.759999999999
COLOUR GLASS T-LIGHT HOLDER HANGING,4771.34
WOOD S/3 CABINET ANT WHITE FINISH,4761.1
BREAD BIN DINER STYLE RED,4711.469999999999
LUNCH BAG DOLLY GIRL DESIGN,4707.16
CHARLOTTE BAG PINK POLKADOT,4706.45
VICTORIAN SEWING BOX LARGE,4695.349999999999
SET OF 10 LED DOLLY LIGHTS,4692.83
HAND WARMER RED RETROSPOT,4689.4400000000005
CHILDRENS CUTLERY RETROSPOT RED,4655.39
BLUE HAPPY BIRTHDAY BUNTING,4653.2300000000005
SET 6 SCHOOL MILK BOTTLES IN CRATE,4616.01
3 HOOK PHOTO SHELF ANTIQUE WHITE,4611.8
T-LIGHT GLASS FLUTED ANTIQUE,4609.1900000000005
RED DINER WALL CLOCK,4598.99
SET OF 6 SOLDIER SKITTLES,4591.88
SET OF TEA COFFEE SUGAR TINS PANTRY,4581.77
WOODEN BOX OF DOMINOES,4578.17
PLASTERS IN TIN STRONGMAN,4575.0599999999995
LUNCH BAG VINTAGE DOILY,4574.43
SET OF 6 RIBBONS VINTAGE CHRISTMAS,4520.01
SET/20 RED RETROSPOT PAPER NAPKINS,4514.82
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,4508.27
SMALL GLASS HEART TRINKET POT,4464.91
WOODEN UNION JACK BUNTING,4462.6
DELUXE SEWING KIT,4458.6900000000005
ALARM CLOCK BAKELIKE ORANGE,4444.97
"RECORD FRAME 7"" SINGLE SIZE",4443.84
LADIES & GENTLEMEN METAL SIGN,4440.84
MULTI COLOUR SILVER T-LIGHT HOLDER,4416.98
LUNCH BAG VINTAGE LEAF DESIGN,4416.12
RED RETROSPOT PEG BAG,4405.26
DOORMAT MULTICOLOUR STRIPE,4403.25
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4384.51
3 TIER CAKE TIN RED AND CREAM,4368.38
JUMBO BAG TOYS,4347.7699999999995
SET OF 3 NOTEBOOKS IN PARCEL,4334.63
PAPER BUNTING WHITE LACE,4325.75
CHILDRENS CUTLERY SPACEBOY,4321.72
DOORMAT UNION JACK GUNS AND ROSES,4309.8
NATURAL SLATE CHALKBOARD LARGE,4287.31
PINK CREAM FELT CRAFT TRINKET BOX,4275.25
WALL ART KEEP CALM,4269.24
AREA PATROLLED METAL SIGN,4257.71
TRADITIONAL KNITTING NANCY,4254.58
BLUE HARMONICA IN BOX,4210.79
CHRISTMAS CRAFT LITTLE FRIENDS,4210.4800000000005
SWEETHEART CAKESTAND 3 TIER,4187.82
HAND WARMER RED LOVE HEART,4183.8
FAMILY ALBUM WHITE PICTURE FRAME,4173.14
HANGING JAM JAR T-LIGHT HOLDER,4157.71
ALARM CLOCK BAKELIKE CHOCOLATE,4101.89
DOORMAT WELCOME TO OUR HOME,4085.39
SET OF 20 KIDS COOKIE CUTTERS,4083.4700000000003
BOX OF 6 MINI VINTAGE CRACKERS,4057.04
WALL ART CLASSIC PUDDINGS,4003.46
SET/2 RED RETROSPOT TEA TOWELS,3998.07
CHILDRENS CUTLERY POLKADOT GREEN,3972.96
LARGE WHITE HEART OF WICKER,3969.3600000000006
POTTERING IN THE SHED METAL SIGN,3964.58
TRAVEL SEWING KIT,3956.66
VINTAGE DOILY TRAVEL SEWING KIT,3951.9900000000002
VINTAGE CREAM DOG FOOD CONTAINER,3946.86
LUNCH BAG DOILEY PATTERN,3944.74
FELTCRAFT PRINCESS CHARLOTTE DOLL,3928.35
CLASSIC METAL BIRDCAGE PLANT HOLDER,3915.77
PHOTO FRAME CORNICE,3897.27
BOX OF 6 MINI 50'S CRACKERS,3893.15
GIRAFFE WOODEN RULER,3888.6099999999997
PACK OF 60 PINK PAISLEY CAKE CASES,3887.7400000000002
EDWARDIAN PARASOL RED,3800.55
ZINC METAL HEART DECORATION,3772.61
PLASTERS IN TIN CIRCUS PARADE,3767.4499999999994
GARDENERS KNEELING PAD CUP OF TEA,3754.5299999999997
ANTIQUE SILVER TEA GLASS ETCHED,3732.94
SOLDIERS EGG CUP,3707.7200000000003
FELTCRAFT CHRISTMAS FAIRY,3696.43
STRAWBERRY LUNCH BOX WITH CUTLERY,3694.0699999999997
WHITE METAL LANTERN,3673.4
WOODEN HAPPY BIRTHDAY GARLAND,3661.71
ZINC FOLKART SLEIGH BELLS,3642.38
NO SINGING METAL SIGN,3612.7100000000005
