InvoiceDate,ReturnValue
2010-01-12,-325.22999999999996
2010-02-12,-1541.1000000000001
2010-03-12,-1323.25
2010-05-12,-391.0
2010-06-12,-970.28
2010-07-12,-54559.15
2010-08-12,-1200.14
2010-09-12,-1054.05
2010-10-12,-1778.0100000000002
2010-12-12,-88.15
2011-01-02,-601.77
2011-01-03,-883.25
2011-01-04,-1275.73
2011-01-05,-9.0
2011-01-06,-404.49
2011-01-07,-503.24
2011-01-08,-26.08
2011-01-09,-73.55
2011-01-11,-413.6
2011-01-12,-786.3
2011-02-02,-167.75
2011-02-03,-394.34
2011-02-06,-324.13
2011-02-08,-11633.33
2011-02-09,-576.9499999999999
2011-02-10,-10.95
2011-02-11,-649.28
2011-02-12,-578.01
2011-03-02,-135.25
2011-03-03,-561.38
2011-03-04,-65.05000000000001
2011-03-05,-15611.550000000001
2011-03-06,-162.25
2011-03-07,-55.25
2011-03-08,-1038.1200000000001
2011-03-10,-2162.04
2011-03-11,-744.9399999999999
2011-04-01,-1075.6
2011-04-02,-168.01999999999998
2011-04-03,-31.93
2011-04-04,-8181.22
2011-04-05,-81.85
2011-04-07,-498.08
2011-04-08,-4473.56
2011-04-09,-101.10000000000001
2011-04-10,-569.81
2011-04-11,-2895.6
2011-04-12,-55.650000000000006
2011-05-01,-34200.7
2011-05-04,-1790.9399999999998
2011-05-05,-423.64
2011-05-06,-119.19000000000001
2011-05-07,-423.46
2011-05-08,-240.28
2011-05-09,-313.1
2011-05-10,-349.2
2011-05-12,-30990.64
2011-06-01,-2990.11
2011-06-03,-409.14
2011-06-04,-83.01
2011-06-05,-411.77
2011-06-06,-997.6800000000001
2011-06-07,-107.96
2011-06-09,-297.29
2011-06-10,-7584.91
2011-06-11,-33.94
2011-06-12,-2484.84
2011-07-01,-1603.45
2011-07-02,-429.02000000000004
2011-07-03,-1830.97
2011-07-04,-283.89
2011-07-06,-313.42
2011-07-07,-1087.99
2011-07-08,-114.78999999999999
2011-07-09,-287.88
2011-07-10,-6252.68
2011-07-11,-15880.73
2011-07-12,-362.94
2011-08-02,-221.78
2011-08-03,-64.14999999999999
2011-08-04,-1996.5
2011-08-05,-58.480000000000004
2011-08-06,-323.42
2011-08-07,-242.02
2011-08-08,-3390.5
2011-08-09,-487.8
2011-08-11,-1052.58
2011-08-12,-1077.22
2011-09-01,-67.4
2011-09-03,-131.72
2011-09-05,-1839.2800000000002
2011-09-06,-873.35
2011-09-08,-1056.24
2011-09-09,-757.93
2011-09-10,-602.16
2011-09-11,-3528.14
2011-09-12,-168789.07
2011-10-01,-377.43
2011-10-02,-1468.92
2011-10-03,-522.33
2011-10-04,-550.1
2011-10-05,-2255.86
2011-10-06,-39693.78
2011-10-07,-301.8
2011-10-08,-1318.1200000000001
2011-10-10,-3973.29
2011-10-11,-2052.02
2011-11-01,-838.46
2011-11-02,-2485.82
2011-11-03,-3479.9
2011-11-04,-242.95999999999998
2011-11-05,-446.89
2011-11-07,-175.49
2011-11-08,-301.0
2011-11-09,-46.2
2011-11-10,-14305.189999999999
2011-11-11,-421.66
2011-12-01,-735.0
2011-12-04,-446.05
2011-12-05,-1991.12
2011-12-06,-33.2
2011-12-07,-370.51
2011-12-08,-57.75
2011-12-09,-699.02
2011-12-10,-2856.43
