Description,ReturnValue
"PAPER CRAFT , LITTLE BIRDIE",-168469.6
AMAZON FEE,-146952.08
Manual,-75737.39
POSTAGE,-9292.57
FELTCRAFT DOLL MOLLY,-3509.6999999999994
REGENCY CAKESTAND 3 TIER,-3430.7999999999997
Discount,-3371.04
PINK BLUE FELT CRAFT TRINKET BOX,-2747.52
CRUK Commission,-2420.4300000000003
ROUND SNACK BOXES SET OF 4 FRUITS,-1670.8499999999997
JUMBO BAG RED RETROSPOT,-1542.12
DOORMAT KEEP CALM AND COME IN,-1482.0
Bank Charges,-1384.77
VINTAGE RED KITCHEN CABINET,-1185.5
FELTCRAFT 6 FLOWER FRIENDS,-1128.9
FELTCRAFT BUTTERFLY HEARTS,-1050.0
FELTCRAFT CUSHION OWL,-1006.32
RED FLORAL FELTCRAFT SHOULDER BAG,-976.32
PAPER CHAIN KIT 50'S CHRISTMAS,-836.65
FELTCRAFT CUSHION RABBIT,-817.35
JUMBO BAG APPLES,-799.35
SET 7 BABUSHKA NESTING BOXES,-759.9000000000001
PAPER CHAIN KIT VINTAGE CHRISTMAS,-715.25
CHILDS BREAKFAST SET DOLLY GIRL,-687.25
3 HOOK PHOTO SHELF ANTIQUE WHITE,-674.9
SET/4 WHITE RETRO STORAGE CUBES,-669.0500000000001
FELTCRAFT CUSHION BUTTERFLY,-658.38
JUMBO BAG VINTAGE DOILY,-647.6800000000001
OFFICE MUG WARMER PINK,-637.5
JUMBO BAG ALPHABET,-636.02
JUMBO BAG PINK POLKADOT,-619.99
JAM MAKING SET WITH JARS,-552.75
LUNCH BAG RED RETROSPOT,-550.95
REVOLVER WOODEN RULER,-508.04999999999995
GIRAFFE WOODEN RULER,-502.5
JUMBO  BAG BAROQUE BLACK WHITE,-485.27000000000004
RED RETROSPOT PEG BAG,-462.90000000000003
JUMBO BAG VINTAGE CHRISTMAS,-462.0
RED RETROSPOT CAKE STAND,-458.84999999999997
SET OF 6 NATIVITY MAGNETS,-444.0
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,-442.5
JUMBO BAG STRAWBERRY,-436.57
BASKET OF TOADSTOOLS,-432.48
JUMBO SHOPPER VINTAGE RED PAISLEY,-426.46000000000004
CHRISTMAS LIGHTS 10 SANTAS,-425.85
JUMBO BAG WOODLAND ANIMALS,-420.77000000000004
JUMBO BAG VINTAGE LEAF,-419.58000000000004
36 DOILIES VINTAGE CHRISTMAS,-412.2
JUMBO STORAGE BAG SUKI,-411.11
PARTY BUNTING,-408.0
CARD HOLDER GINGHAM HEART,-406.09000000000003
SCOTTIE DOG HOT WATER BOTTLE,-403.0
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,-402.03
VINTAGE BLUE KITCHEN CABINET,-375.0
SET OF 3 CAKE TINS PANTRY DESIGN,-373.55
OCEAN SCENT CANDLE IN JEWELLED BOX,-367.74
VICTORIAN SEWING BOX LARGE,-361.2
CHILLI LIGHTS,-349.7
DOORMAT MERRY CHRISTMAS RED,-337.5
WOOD 2 DRAWER CABINET WHITE FINISH,-332.2
SET OF TEA COFFEE SUGAR TINS PANTRY,-327.75
PICNIC BASKET WICKER SMALL,-326.75
VICTORIAN SEWING KIT,-321.6
